name,path,plugin_id,status
ab-test-setup,${HOME}/.codex/skills/ab-test-setup/SKILL.md,,Retained by approved policy; discovery visibility varies
acceptance-orchestrator,${HOME}/.codex/skills/acceptance-orchestrator/SKILL.md,,Retained by approved policy; discovery visibility varies
accessibility-compliance-accessibility-audit,${HOME}/.codex/skills/accessibility-compliance-accessibility-audit/SKILL.md,,Retained by approved policy; discovery visibility varies
ad-creative,${HOME}/.codex/skills/ad-creative/SKILL.md,,Retained by approved policy; discovery visibility varies
address-github-comments,${HOME}/.codex/skills/address-github-comments/SKILL.md,,Retained by approved policy; discovery visibility varies
agents-md,${HOME}/.codex/skills/agents-md/SKILL.md,,Retained by approved policy; discovery visibility varies
ai-seo,${HOME}/.codex/skills/ai-seo/SKILL.md,,Retained by approved policy; discovery visibility varies
analytics-tracking,${HOME}/.codex/skills/analytics-tracking/SKILL.md,,Retained by approved policy; discovery visibility varies
api-design-principles,${HOME}/.codex/skills/api-design-principles/SKILL.md,,Retained by approved policy; discovery visibility varies
api-patterns,${HOME}/.codex/skills/api-patterns/SKILL.md,,Retained by approved policy; discovery visibility varies
api-security-best-practices,${HOME}/.claude/skills/api-security-best-practices/SKILL.md,,Retained by approved policy; discovery visibility varies
app-69312da8e4dc81919370cb86fd172b6c:adobe-batch-edit-photos,${HOME}/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-batch-edit-photos/SKILL.md,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-69312da8e4dc81919370cb86fd172b6c:adobe-create-mockups,${HOME}/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-create-mockups/SKILL.md,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-69312da8e4dc81919370cb86fd172b6c:adobe-create-social-variations,${HOME}/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-create-social-variations/SKILL.md,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-69312da8e4dc81919370cb86fd172b6c:adobe-design-from-template,${HOME}/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-design-from-template/SKILL.md,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-69312da8e4dc81919370cb86fd172b6c:adobe-edit-quick-cut,${HOME}/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-edit-quick-cut/SKILL.md,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-69312da8e4dc81919370cb86fd172b6c:adobe-retouch-portraits,${HOME}/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-retouch-portraits/SKILL.md,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:ad-multiplier,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ad-multiplier/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:ai-host-video,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ai-host-video/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:faceless-video,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/faceless-video/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:higgsfield,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/higgsfield/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:motion-craft,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/motion-craft/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:narrator,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/narrator/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
app-6a3293e129088191abf0875820e839da:product-photoshoot,${HOME}/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/product-photoshoot/SKILL.md,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Retained by approved policy; discovery visibility varies
